pair_id,conversation_id,customer_tweet_id,response_tweet_id,customer_author_id,customer_text,response_text,customer_text_normalized,response_text_normalized,customer_timestamp,response_timestamp,turn_delay_seconds,response_has_url,response_requests_dm,response_mentions_genius_bar,response_has_troubleshooting,conversation_length
76794,2128227,2128222,2128228,626538,@AppleSupport How do I revert to previous iOS? Can I Delete iOS 11?,@626538 Thanks for that information. DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,@AppleSupport How do I revert to previous iOS? Can I Delete iOS 11?,@user Thanks for that information. DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,Wed Nov 08 19:45:52 +0000 2017,Wed Nov 08 20:10:30 +0000 2017,1478,True,True,False,False,8
89838,2438522,2438522,2438521,699447,"Look y’all don’t own my I’s, okay!?@115858 I’m gonna need y’all to give those muthafuckas back before I️ see what that #Pixel2XL is all about Ight?!? Got me over feeling/looking like I’m still using T9word or some shit 🙄 Tf!","@699447 We recently released an iOS update, 11.1.1, that contains a fix for this issue. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6","Look y’all don’t own my I’s, okay!?@user I’m gonna need y’all to give those muthafuckas back before I️ see what that #Pixel2XL is all about Ight?!? Got me over feeling/looking like I’m still using T9word or some shit 🙄 Tf!","@user We recently released an iOS update, 11.1.1, that contains a fix for this issue. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",Tue Nov 14 21:40:43 +0000 2017,Tue Nov 14 22:02:00 +0000 2017,1277,True,False,False,True,2
5355,228545,228545,228544,170489,"@AppleSupport look, i just got this iPhone 8 and i would like to ask y’all why is my phone tripping and dying so fast 😐","@170489 We want to make sure your iPhone is there for you when you need it. So we can get started, let's pair up in DM to take a closer look at this. https://t.co/GDrqU22YpT","@AppleSupport look, i just got this iPhone 8 and i would like to ask y’all why is my phone tripping and dying so fast 😐","@user We want to make sure your iPhone is there for you when you need it. So we can get started, let's pair up in DM to take a closer look at this. https://t.co/GDrqU22YpT",Wed Nov 15 04:29:38 +0000 2017,Wed Nov 15 13:24:01 +0000 2017,32063,True,True,False,False,2
56597,1761199,1761198,1761200,509879,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",@509879 Alright. Does this seem to happen with any specific apps? What iOS version are you using? (Settings &gt; General &gt; About).,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",@user Alright. Does this seem to happen with any specific apps? What iOS version are you using? (Settings &gt; General &gt; About).,Tue Nov 07 20:28:29 +0000 2017,Tue Nov 07 21:58:01 +0000 2017,5372,False,False,False,True,6
7432,292376,292376,292375,163247,@AppleSupport recent update for IPad and IPhone have made it difficult to open certain applications,"@163247 Let us know which apps you're having trouble with, and what happens when you try to open them. We're here for you!",@AppleSupport recent update for IPad and IPhone have made it difficult to open certain applications,"@user Let us know which apps you're having trouble with, and what happens when you try to open them. We're here for you!",Fri Oct 06 14:43:14 +0000 2017,Fri Oct 06 16:40:01 +0000 2017,7007,False,False,False,False,2
56338,1758726,1758726,1758725,529418,👁’m gonna use 👁 when 👁 got tweet some shit that start with 👁 til @115858 get they shit together,@529418 We're happy to help. Check out this article for steps to help with this: https://t.co/xXaXeeSRt9,👁’m gonna use 👁 when 👁 got tweet some shit that start with 👁 til @user get they shit together,@user We're happy to help. Check out this article for steps to help with this: https://t.co/xXaXeeSRt9,Tue Nov 07 17:55:11 +0000 2017,Tue Nov 07 20:11:53 +0000 2017,8202,True,False,False,False,2
2969,122318,122318,122317,143274,@AppleSupport @115858 why isn’t my low power mode working 🤔🧐help?!... https://t.co/AutkdiI4n6,@143274 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,@AppleSupport @user why isn’t my low power mode working 🤔🧐help?!... https://t.co/AutkdiI4n6,@user Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,Fri Nov 24 00:17:56 +0000 2017,Fri Nov 24 00:22:27 +0000 2017,271,True,True,False,False,2
39257,1403879,1403879,1403878,446386,"It’s crazy when I didn’t update my 7plus it worked perfect, nw it’s updated my joint freezing an everything. No @115858 I Dn’t want a new phn",@446386 We'd like to help if we can. Send us a DM with some details and we'll go from there. https://t.co/GDrqU22YpT,"It’s crazy when I didn’t update my 7plus it worked perfect, nw it’s updated my joint freezing an everything. No @user I Dn’t want a new phn",@user We'd like to help if we can. Send us a DM with some details and we'll go from there. https://t.co/GDrqU22YpT,Mon Oct 16 16:43:01 +0000 2017,Mon Oct 16 16:53:01 +0000 2017,600,True,True,False,False,2
12433,460863,460863,460862,224487,"For some reason, Siri thinks apologies are indecipherable Canadian gibberish, @AppleSupport? https://t.co/IeGMEewAIL",@224487 Let's see what's going on with Siri. Can you tell us in DM the current iOS version and device you're using with Siri? https://t.co/GDrqU22YpT,"For some reason, Siri thinks apologies are indecipherable Canadian gibberish, @AppleSupport? https://t.co/IeGMEewAIL",@user Let's see what's going on with Siri. Can you tell us in DM the current iOS version and device you're using with Siri? https://t.co/GDrqU22YpT,Fri Dec 01 01:54:18 +0000 2017,Fri Dec 01 02:01:00 +0000 2017,402,True,True,False,False,2
100859,2777598,2777598,2777597,776011,@AppleSupport i keep getting this error message when i wanted to make a purchase . Help ! https://t.co/VL1vBh48HA,"@776011 We'll get you to the right place to get some help. Check out this link:
https://t.co/LGiyy7sjW4
If that doesn't seem to be helpful, you'll want to reach out to our team at the iTunes Store. Find out how here:
https://t.co/SDIe7UiyJN",@AppleSupport i keep getting this error message when i wanted to make a purchase . Help ! https://t.co/VL1vBh48HA,"@user We'll get you to the right place to get some help. Check out this link: https://t.co/LGiyy7sjW4 If that doesn't seem to be helpful, you'll want to reach out to our team at the iTunes Store. Find out how here: https://t.co/SDIe7UiyJN",Tue Nov 21 15:05:14 +0000 2017,Tue Nov 21 15:41:30 +0000 2017,2176,True,False,False,False,2
